국가코드,DB종류,특허/실용 구분,문헌종류 코드,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인,출원인 국적,출원인 수,출원인 대표명화 코드,출원인 대표명화 영문명,출원인 대표명화 국문명[KR],출원인 식별기호[JP],발명자/고안자,우선권 번호,우선권 국가,우선권 주장일,국제 공개번호,국제 공개일,Original CPC Main,Original CPC All,Original IPC Main,Original IPC All,Original US Class Main[US],Original US Class All[US],Original FI[JP],Original F-term[JP],Original Theme Code [JP],WIPS ON key
US,US,P,A1,Method for energy storage for DC motor powered load hoisting machinery,"A method for energy storage and recovery for load hoisting equipment driven by a diode controlled DC motor and having an inverter controlling an induction motor which drives a flywheel whereby, utilizing rest power such as reverse power from the DC motor when lowering a load and unused power at small load or idle to accelerate rotation of a flywheel, whereby energy is stored, and the system is reversed when a load is lifted and power is consumed whereby the flywheel causes the induction motor to generate power and deliver it to the DC motor. ","1. A method for energy storage and recovery for load moving machinery, the steps comprising  powering said machinery by a DC motor which is controlled by a diode converter,  1driving said DC motor to act as a generator and create reverse power when lowering or braking a load, said reverse power combined with unused power when said load hoisting machinery is at small load or idle, said combined powers being defined as rest power,  utilizing said rest power for driving an induction motor through an inverter, controlling said rest power by said inverter, rotating a flywheel by said induction motor to store said rest power, and rotating said induction motor by said flywheel to supply power through said inverter to said DC motor when said motor is consuming power in excess of its average power consumption. ",4,10/773483,2004-02-06,2005-0173197,2005-08-11,,,PACECO Corp.,,1,EN023158,PACECO CORP,,,Toru Takehara | Kinya Ichimura,,,,,,,,B66B-001/00,B66B-001/00,187/277,187/277 | 187/290,,,,5.21E+12
US,US,P,A1,Energy storage method for load hoisting machinery,"A method for energy storage and recovery for load hoisting equipment powered by an induction hoist motor controlled by a first inverter and having a dual inverter controlling a capacitor utilizing rest power such as reverse power generated from the motor when lowering a load, and unused power at small load or idle, to charge the capacitor whereby energy is stored in the capacitor and the system is reversed when a load is lifted and power is consumed whereby the capacitor is discharged to deliver power to the hoist motor. ","1. A method for energy storage and recovery for load moving machinery powered by an induction motor which is controlled by a first inverter, the steps comprising  driving said induction motor to act as a generator and create reverse power when lowering or braking a load, said reverse power combined with unused power when said load hoisting machinery is at small load or idle, said combined powers being defined as rest power, utilizing said rest power for charging a capacitor, controlling said rest power by a dual inverter, and discharging said capacitor to supply power to said induction motor when said motor is consuming power in excess of its average power consumption. ",4,10/773484,2004-02-06,2005-0173198,2005-08-11,,,PACECO Corp.,,1,EN023158,PACECO CORP,,,Toru Takehara | Kinya Ichimura,,,,,,,,B66B-001/00,B66B-001/00 | H02P-003/14,187/277,187/277 | 318/376,,,,5.21E+12
US,US,P,A1,Apparatus and method for erecting tote containers,"A new and improved apparatus or system for automatically assembling or erecting tote containers, and a corresponding method or process for practicing or implementing the assembly or erection of the tote containers, is disclosed wherein tote container workpieces are disposed in a serial array within a magazine or hopper. The tote container workpieces are serially and individually removed from the magazine or hopper, expanded from their FLATTENED states to their OPENED or EXPANDED states, and have their flap members folded upwardly and inwardly with respect to the lower or bottom edge portions of each tote container workpiece, in accordance with a predetermined procedural sequence, whereby each tote container is automatically assembled, as a result of the flap members being engaged with each other in an intermeshed, interengaged, and interlocked manner so as to effectively form the bottom support surface of the tote container without the need for fixing, bonding, or otherwise permanently securing the flap members together. As a result of such structure, each tote container is then capable of being used, and as may be subsequently desired or required, disassembled and reused. ","21. Apparatus for automatically erecting a tote container from an originally FLATTENED tote container workpiece defined by means of a pair of oppositely disposed end walls, a pair of oppositely disposed side walls, and a plurality of bottom surface flap members respectively pivotally connected to lower edge portions of the pair of oppositely disposed end walls and the pair of oppositely disposed side walls, comprising:  means for engaging only one of the pair of oppositely disposed end walls of the tote container workpiece; means, movable from a first position to a second position, for grasping only one of the pair of oppositely disposed side walls of the tote container workpiece such that as said grasping means moves from said first position to said second position, one of the pair of oppositely disposed end walls of the FLATTENED tote container workpiece is moved into contact with said engaging means so as to effectively be positionally restrained by said engaging means whereby continued movement of said grasping means toward said second position will cause said grasping means and said engaging means to cooperate together so as to cause the tote container workpiece to attain an EXPANDED state; and means for pivotally moving the plurality of bottom surface flap members of the EXPANDED tote container workpiece with respect to the lower edge portions of the pair of oppositely disposed end walls and the pair of oppositely disposed side walls of the tote container workpiece in a predetermined sequential manner from first positions, at which the plurality of bottom surface flap members are not operatively engaged with each other, to second positions, at which the plurality of bottom surface flap members are operatively engaged with each other in an interlocked manner, wherein a first one of the bottom surface flap members pivotally connected to the lower edge portion of a first one of the oppositely disposed side walls of the tote container workpiece will be folded first, second and third ones of the bottom surface flap members pivotally connected to the lower edge portions of the oppositely disposed end walls of the tote container workpiece will be folded subsequent to the folding of the first one of the bottom surface flap members of the tote container workpiece, and a fourth one of the bottom surface flap members pivotally connected to the lower edge portion of a second one of the oppositely disposed side walls of the tote container workpiece will be folded last so as to be interlocked only with the first oppositely disposed one of the bottom surface flap members pivotally connected to the lower edge portion of the first one of the oppositely disposed side walls of the tote container workpiece so as to define the bottom surface portion of an erected tote container without the need for permanently securing the plurality of bottom surface flap members together. ",20,11/102859,2005-04-11,2005-0176567,2005-08-11,,,ILLINOIS TOOL WORKS INC.,,1,UN000205,ILLINOIS TOOL WORKS,,,William Menta J. | Wojciech Biernacki,,,,,,,,B31B-001/88,B31B-001/88,493/055,493/055,,,,5.21E+12
US,US,P,B1,Pig launcher,"The ability to pig a pipeline is considered necessary and vital to most pipeline operations. The present invention provides a pig inserting apparatus and method designed to satisfy the need to Insert pigs for large diameter gasoline pipelines that are made of concrete and weigh in excess of 400 pounds. In the past, the industry has used ineffectively manpower or motorized vehicles to insert the pigs. This pig launcher uses a means for propelling the pig that includes: a spool rotatably mounted. The pair of cables is connected to the spool and engage the ends of the cantilevered arms for propelling the pig a pair of cantilevered arms, and a pair of cables of sufficient strength to firmly fasten onto the end of a pipeline.",1. A pig launcher for inserting an over weight pig into a pipeline comprising: a pig; a means for supporting the pig; a means for propelling the pig; a docking station supporting the means for propelling the pig; a base; a rod having a first end attached to the pig and a second end attached to the base; a pair of cantilevered arms attached to the base extending in opposite directions from the base wherein the cantilevered arms are perpendicular to the rod; and a pair of cables of sufficient strength to firmly fasten onto the end of a pipeline; wherein the pair of cables engage the distal ends of the cantilevered arms and wherein the pair of cables are attached to the means for propelling the pig.,20,10/970311,2004-10-20,,,6925671,2005-08-09,Marathon Ashland Petroleum LLC,US,1,EN036036,MARATHON ASHLAND PETROLEUM LLC,,,Kevin J. Mouton,,,,,,,,B08B-009/04,B08B-009/04,015/104.62,015/104.62 | 015/003.5 | 015/104.61 | 137/268,,,,4.71E+12
US,US,P,A1,Intelligent step-nc controller,"An intelligent STEP-NC (Standard for the Exchange of Produce model-Numerical Controller) overcomes short-comings of conventional NCs with a closed structure The intelligent STEP-NC intelligently performs a machining process based on ISO 14649 data while autonomously coping with an emergency at a shop-floor. Thus, the discontinuity of information in a CAD-CAM-CNC chain where the current NCs are operated can be overcome and the concept of “design-to-manufacture” can be realized. ","1. An intelligent STEP-NC comprising:  a control module for reflecting functional level requirements of each controller of a machining tool; a SFP/TPG module for reflecting data interface level requirements; and a common DB module for storing therein data generated, updated and referred to by the control module and the SFP/TPG module. ",7,10/506685,2002-06-04,2005-0171629,2005-08-04,,,,,0,,,,,Suk-Hwan Suh | Sang-Uk Cheon,10-2002-0014946,KR,2002-03-20,,,,,G06F-019/00,G06F-019/00,700/159,700/159 | 700/174 | 700/182,,,,5.21E+12
US,US,P,B2,Universal motion control,"The integration of a programmable logic controller (PLC) and a motion control (NC) into a universal motion control (UMC) is realized by a tailored and nonetheless essentially user-configurable run-level model for processing of software tasks. This run-level model consists of types of different user levels and system levels with different priorities. In particular, one of the run levels (FA) can be configured very effectively according to user requirements. Thus, this kind of universal motion control (UMC) can be optimized by software to the particular requirements of the control task and the technical process.","1. A motion controller that performs tasks of a programmable logic controller and a numerical controller, comprising a consistent run-level model having a plurality of run levels, each run level having a respective priority.",34,10/390989,2003-03-18,2003-0149494,2003-08-07,6912442,2005-06-28,Siemens Aktiengesellschaft,DE,1,UN000041,SIEMENS AG,,,Klaus Wucherer | Armin Amrhein | Karl Hess | Tino Heber | Steffen Kirste,PCT-DE2000-000059,WO,2000-01-10,,,,,G06F-019/00,G06F-019/00,700/159,700/159 | 700/018 | 700/013 | 700/003 | 700/028 | 700/169 | 703/013,,,,4.71E+12
US,US,P,A1,Power cogeneration system and apparatus means for improved high thermal efficiencies and ultra-low emissions,"A power cogeneration system employing a partially-open gaseous fluid cycle method and apparatus devices for oxy-fuel combustion conversion of a given hydrocarbon composition fuel's heat-value energy into mechanical or electrical power energy, and transferred useful heat energy, with accompanying large reductions of consumed fuel and undesirable exhaust emissions. ","1. A power cogeneration partially-open oxy-fuel combustion cycle method and system having recirculated gaseous thermal fluid and apparatus devices for conversion of hydrocarbon fuel heat-value energy into mechanical energy power and transferable residual exhaust energy for useful purposes, comprising:  (a) a partially-open oxy-fuel combustion cycle method containing a continuously recirculated superheated gaseous thermal fluid; (b) one or more combustion chamber apparatus assembly or subassembly device wherein temperature controlled oxy-fuel combustion takes place; (c) one or more integral power engine unit apparatus assembly device wherein hydrocarbon fuel heat-value energy is converted into mechanical power energy and exhaust gas residual energy for useful heating of other gaseous or liquid fluids; (d) an integral power unit apparatus device therein containing, but not limited to, a recycle gas compressor apparatus assembly or subassembly device, one or more oxy-fuel combustion chamber assembly or subassembly device, and a hot gas expansion power extraction assembly or subassembly device; (d) two or more alternative power engine unit apparatus assemblies or subassembly devices collectively performing identical energy conversion step functions as those performed within an integral power engine unit apparatus assembly; (e) one or more heat exchanger assembly devices, wherein  1. a quantity of heat energy is extracted from one cited cycle recirculated gaseous thermal fluid stream and transferred to either one or more other cited cycle recirculated gaseous thermal fluid stream, 2. a quantity of heat energy is extracted from one cited cycle recirculated gaseous thermal fluid stream and transferred to one or more other supply/return fluid streams originating from outside the partially-open cycle and cogeneration system, and 3. the heat exchanger assembly contains one or more sections, each section therein having fluid heat transfer coils;  (f) a valve apparatus device for controlling individual flow streams of fuel and a predominant oxygen mixture gas stream entering into the cited partially-open cycle and power cogeneration system from remote supply sources; (g) the power cogeneration system therein having control means for controlling an excess flow stream portion of the partially-open cycle's recirculated gaseous thermal fluid stream, the said excess controlled stream portion thereafter exhausted from within the cited cycle and vented to atmosphere; (h) the power cogeneration system having conduit means therein providing for fluid flow communication between individual apparatus devices, and between apparatus devices within the system and other supply/return fluid streams originating from outside the partially-open cycle's boundary limits; (i) an alternative system addition of apparatus devices therein independently supplementing the production flow of oxy-fuel combustion exhaust gas flows within a conduit manifold having communication to one or more exhaust waste heat recovery exchanger device; and (j) a power cogeneration system PLC control panel device having monitoring and control communication with instrumentation and fluid flow control devices mounted to and/or positioned within cited conduits and apparatus devices, all said devices complying with industry and governmental codes/standards for safe operation and acceptable operating reliability. ",14,10/743505,2003-12-22,2005-0132713,2005-06-23,,,,,0,,,,,David Neary,,,,,,,,F02C-006/04,F02C-006/04,060/784,060/784,,,,5.21E+12
US,US,P,B2,"Collated road marker assembly, and system and method for automatically applying collated road markers to roadway surfaces","Apparatus for dispensing and applying a nested collated array of permanent raised pavement markers (RPMs), wherein portions of a release sheet are folded between successive ones of the permanent raised pavement markers (RPMs), and successive permanent raised pavement markers (RPMs) are disposed atop one another with an undersurface portion of one of the permanent raised pavement markers (RPMs) being disposed in contact with a successive one of the permanent raised pavement markers (RPMs), is disclosed. The apparatus comprises a stripper plate, an indexable roller, a drive motor, and a program logic controller (PLC).","1. Apparatus for serially dispensing and applying a nested collated array of permanent raised pavement markers (RPMs) onto a pavement surface, comprising: a nested collated array of permanent raised pavement markers (RPMs) comprising a plurality of permanent raised pavement markers (RPMs), wherein each one of said plurality of permanent raised pavement markers (RPMs) has an upper surface portion and a bottom surface portion; adhesive means, adapted to be fixedly mounted upon said bottom surface portion of each one of said plurality of permanent raised pavement markers (RPMs), for permitting each one of said bottom surface portions of said plurality of permanent raised pavement markers (RPMs) to be fixedly adhered to a pavement surface as a result of said plurality of permanent raised pavement markers (RPMs) being serially dispensed and said bottom surface portions of said plurality of permanent raised pavement markers (RPMs) being respectively applied to the pavement surface at predeterminedly spaced positions located along the pavement surface; and a single release sheet, to which all of said adhesive means of said plurality of permanent raised pavement markers (RPMs) are separably adhered prior to the serial dispensing and application of said plurality of permanent raised pavement markers (RPMs) onto the pavement surface, wherein successive ones of said plurality of permanent raised pavement markers (RPMs) are arranged such that an undersurface portion of one of said plurality of permanent raised pavement markers (RPMs) is disposed in contact with an upper surface portion of a successive one of said plurality of permanent raised pavement markers (RPMs) so as to effectively define, along with said single release sheet, said nested collated array of said plurality of permanent raised pavement markers RPMs) to be dispensed and applied onto the pavement surface; and means for causing a leading one of said plurality of permanent raised pavement markers (RPMs), disposed within said nested collated array of permanent raised pavement markers (RPMs), to be separated from said plurality of permanent raised pavement markers (RPMs) disposed within said nested collated array of permanent raised pavement markers (RPMs) and for depositing said bottom surface portion of said leading one of said plurality of permanent raised pavement markers (RPMs), upon which said adhesive means is disposed, onto the pavement surface so as to facilitate the adhesive bonding of said leading one of said plurality of permanent raised pavement markers (RPMs) to the pavement surface. ",30,10/823718,2004-04-14,2004-0197142,2004-10-07,6908257,2005-06-21,Illinois Tool Works Inc.,US,1,UN000205,ILLINOIS TOOL WORKS,,,Chad M. Orthaus | Calice G. Courneya,,,,,,,,E01C-023/16,E01C-023/16,404/094,404/094,,,,4.71E+12
US,US,P,A1,Method and apparatus for quay container crane-based automated optical container code recognition with positional identification,A method and system for a quay container crane with container code recognition of a container identified by a container code with container positional identification is disclosed. The system and method are capable of performing these tasks without the use of non-standard container tagging. ,"1. An optical characteristic system providing container code recognition from a quay container crane of a container identified by a container code to a container inventory management system, comprising:  a computer communicatively coupled to at least two video imaging devices and controlled by a program system comprising program steps residing in a memory accessibly coupled to said computer; said video imaging device is mechanically coupled to said quay container crane, for each of said video imaging devices; wherein said program system is further comprised of the program steps of:  generating an optical characteristic of said container code based upon at least one of said video imaging devices; generating a positional identification of said container; and sending said optical characteristic of said container code and said positional identification of said container to said container inventory management system;  wherein the program step generating said optical characteristic of said container code is comprised of at least one member of the collection comprising the program steps of:  acquiring at least one container code image of a container representation of said container code imaged from said video imaging device; applying an optical character recognition process to said container code image to create an estimated container code; acquiring a first container code image from said video imaging device of said container representation of said container code; and compressing said first container code image to create said container code image;  wherein each of said video imaging devices belongs to a collection comprising at least a video camera, a digital video camera, and a charged coupled array; wherein the program step generating said positional identification of said container is further comprised of at least one member of the collection comprising the program steps of:  generating a loading-operation designation for said container; generating a storage-location designation for said container; and generating a terminal location for said quay container crane;  wherein the program step generating said loading-operation is further comprised of at least one member of the collection comprising the program steps of:  receiving a locking indication from a programmable logic controller within said quay container crane; and determining said locking indication from a relay network within said quay container crane;  wherein the program step generating said loading-operation is further comprised of at least one member of the collection comprising the program steps of:  determining a container hoist position based upon sensing a gray-coded hoist shaft in said quay container crane; and determining said container hoist position based upon sensing an ultrasonic transponder; and  wherein the program step generating said loading-operation is further comprised of the program step of:  generating said loading-operation designation based upon at least one member of the collection comprising said locking signal indication and said container hoist position;  wherein the program step sending said optical characteristic and said positional identification, is comprised of the program steps of:  sending a packet from a network to create a received packet; and creating said packet from at least part of at least one member of a sending-data collection;  wherein said sending-data collection is comprised of said optical characteristic of said container code and said positional identification of said container; wherein said network employs at least one member of a physical transport collection in communicating from said quay container crane to container inventory management system; wherein said physical transport collection is comprised of at least one wireline physical transport layer and at least one wireless physical transport layer. ",30,10/901457,2004-07-27,2005-0131574,2005-06-16,,,,,0,,,,,Toru Takehara | Maxwell King W. | Chingyei Chung,,,,,,,,G06F-007/00,G06F-007/00,700/213,700/213,,,,5.21E+12
US,US,P,B2,APPARATUS AND METHOD FOR MANUFACTURING A COLLATED ARRAY OF TEMPORARY RAISED PAVEMENT MARKERS (TRPMS) FOR FACILITATING THE SERIAL APPLICATION OF SUCH TEMPORARY RAISED PAVEMENT MARKERS (TRPMS) TO ROADWAY SURFACES,"Apparatus is disclosed for forming a serial array of temporary raised pavement markers (TRPMs), which are disposed upon a single, common release liner, into a collated and nested array of the temporary raised pavement markers (TRPMs) such that the collated and nested array of temporary raised pavement markers (TRPMs) can be supplied to apparatus for dispensing and applying the temporary raised pavement markers (TRPMs) onto pavement surfaces. In accordance with a first embodiment of the apparatus, the plurality of temporary raised pavement markers (TRPMs) are formed from a single temporary raised pavement marker (TRPM) extrusion, the extrusion is cut, and subsequently, the markers are mounted upon the single, common release sheet or release liner which has a plurality of adhesive patches previously disposed thereon. The assembly, comprising the plurality of temporary raised pavement markers (TRPMs) and the common release liner, is then formed into a collated and nested array. In accordance with a second embodiment of the apparatus, a plurality of pre-formed temporary raised pavement markers (TRPMs), having adhesive patches already disposed thereon, are serially deposited and adhered onto a single, common release liner, and subsequently, the assembly, comprising the plurality of temporary raised pavement markers (TRPMs) and the common release sheet or release liner, are formed into a collated and nested array.","1. Apparatus for automatically forming a collated and nested array of pavement markers, comprising: means for conveying a release liner with respect to an assembly station; means for depositing a plurality of pavement markers onto predeterminedly spaced regions of said release liner, disposed at said assembly station, so as to define an assembly comprising a serial array of said plurality of pavement markers fixedly disposed upon said release liner; and means for forming said assembly, comprising said serial array of said plurality of pavement markers fixedly disposed upon said release liner, into a collated and nested array of pavement markers. ",31,10/646883,2003-08-25,2005-0047865,2005-03-03,6905284,2005-06-14,Illinois Tool Works Inc.,US,1,UN000205,ILLINOIS TOOL WORKS,,,Michael Christensen | Jeffrey Rogers,,,,,,,,E01C-023/16,E01C-023/16,404/072,404/072 | 404/094,,,,4.71E+12
US,US,P,B2,"Collated road marker assembly, and system and method for automatically applying collated road markers to roadway surfaces","Apparatus and method are disclosed in connection with the separating, dispensing, and application of a plurality of temporary raised pavement markers (TRPMs), having substantially L-shaped configurations, which are arranged within a collated nested array upon a single release liner. Portions of the release liner are folded between successive ones of the pavement markers such that when the folded portions of the release sheet are unfolded in conjunction with the dispensing of a leading one of the pavement markers, the release liner is routed around a stripper plate and the temporary raised pavement markers (TRPMs) are effectively stripped from the release liner, deposited upon the pavement surface, and an application wheel affixes the temporary raised pavement markers (TRPMs) to the pavement surface.","1. Apparatus for serially dispensing and applying a collated array of pavement markers onto a pavement surface, comprising: means for forming a collated, serial, nested array of pavement markers, comprising a plurality of pavement markers respectively having upper surface portions and undersurface portions, wherein said plurality of pavement markers are adhered upon a single release sheet, at predeterminedly spaced positions located along said single release sheet, by means of a block of adhesive material which is fixedly secured to said undersurface portion of each one of said plurality of pavement markers and which is separable from said single release sheet so as to fixedly adhere each one of said plurality of pavement markers to a pavement surface when said plurality of pavement markers are individually applied onto the pavement surface, and wherein further, successive ones of said plurality of pavement markers are disposed in a nested array with an undersurface portion of one of said plurality of pavement markers disposed in contact with an upper surface portion of a successive one of said plurality of pavement markers; and means for repetitively causing leading ones of said plurality of pavement markers, defining said collated, serial, nested array of pavement markers disposed upon said single release sheet, to be separated and removed from said single release sheet, and from the remaining ones of said plurality of pavement markers forming said collated, serial, nested array of pavement markers disposed upon said single release sheet, and for repetitively applying said separated and removed leading ones of said plurality of pavement markers to predeterminedly spaced positions located along the pavement surface, whereby said plurality of pavement markers are dispensed and applied to the predeterminedly spaced positions located along the pavement surface so as to form a serial array of said plurality of pavement markers upon the pavement surface. ",18,10/701407,2003-11-05,2004-0146350,2004-07-29,6902348,2005-06-07,Illinois Tool Works Inc.,US,1,UN000205,ILLINOIS TOOL WORKS,,,Chad M. Orthaus | Calice G. Courneya,,,,,,,,E01C-023/16,E01C-023/16,404/073,404/073 | 404/094,,,,4.71E+12
US,US,P,B2,"Collated road marker assembly, and system and method for automatically applying collated road markers to roadway surfaces","A method for dispensing and applying a nested collated array of permanent raised pavement markers (RPMs), wherein portions of a release sheet are folded between successive ones of the permanent raised pavement markers (RPMs), and successive permanent raised pavement markers (RPMs) are disposed atop one another with an undersurface portion of one of the permanent raised pavement markers (RPMs) being disposed in contact with a successive one of the permanent raised pavement markers (RPMs), is disclosed. The method further comprises the use of a stripper plate, an indexable roller, a drive motor, and a program logic controller (PLC) for achieving the separating and dispensing steps.","1. A method for serially dispensing and applying a nested collated array of permanent raised pavement markers (RPMs) onto a pavement surface, comprising the steps of: forming a nested collated array of permanent raised pavement markers (RPMs) by providing a plurality of permanent raised pavement markers (RPMs), wherein each one of said plurality of permanent raised pavement markers (RPMs) has an upper surface portion and a bottom surface portion; providing adhesive means, which is adapted to be fixedly mounted upon said bottom surface portion of each one of said plurality of permanent raised pavement markers (RPMs), for permitting each one of said bottom surface portions of said plurality of permanent raised pavement markers (RPMs) to be fixedly adhered to a pavement surface as a result of said plurality of permanent raised pavement markers (RPMs) being serially dispensed and said bottom surface portions of said plurality of permanent raised pavement markers (RPMs) being applied onto the pavement surface at predeterminedly spaced positions located along the pavement surface; and providing a single release sheet, to which all of said adhesive means of said plurality of permanent raised pavement markers (RPMs) are separably adhered prior to the serial dispensing and application of said plurality of permanent raised pavement markers (RPMs) onto the pavement surface, wherein successive ones of said plurality of permanent raised pavement markers (RPMs) are arranged such that an undersurface portion of one of said plurality of permanent raised pavement markers (RPMs) is disposed in contact with an upper surface portion of a successive one of said plurality of permanent raised pavement markers (RPMs) so as to effectively define, along with said single release sheet, said nested collated array of said plurality of permanent raised pavement markers (RPMs) to be dispensed and applied onto the pavement surface; and separating a leading one of said plurality of permanent raised pavement markers (RPMs), disposed within said nested collated array of permanent raised pavement markers (RPMs), from said plurality of permanent raised pavement markers (RPMs) disposed within said nested collated array of permanent raised pavement markers (RPMs), and depositing said bottom surface portion of said leading one of said plurality of permanent raised pavement markers (RPMs), upon which said adhesive means is disposed, onto the pavement surface so as to facilitate the adhesive bonding of said leading one of said plurality of permanent raised pavement markers (RPMs) to the pavement surface. ",30,10/823717,2004-04-14,2004-0197141,2004-10-07,6902349,2005-06-07,Illinois Tool Works Inc.,US,1,UN000205,ILLINOIS TOOL WORKS,,,Chad M. Orthaus | Calice G. Courneya,,,,,,,,E01C-005/00,E01C-005/00,404/073,404/073,,,,4.71E+12
US,US,P,B2,Plate heat exchanger and method for using the same,"A plate heat exchanger includes first and second plates, a package of heat transfer plates arranged between the first and second plates, and a closure system. The closure system includes a plurality of tie bar assemblies. Each tie bar assembly includes a tie bar extending between the first and second plates, and a threaded member threadedly engaging the tie bar. The closure system and the first and second plates are relatively arranged and configured such that relative rotation between the tie bar and the threaded member of each tie bar assembly is operative to move the first plate towards and away from the second plate to close and open, respectively, the plate heat exchanger. The plate heat exchanger is arranged and configured such that the heat transfer plates can be removed from the plate heat exchanger without relocating any of the tie bars.","1. A plate heat exchanger comprising: a) first and second plates; b) a package of heat transfer plates arranged between the first and second plates; and c) a closure system including a plurality of tie bar assemblies, each tie bar assembly including:  a tie bar extending between the first and second plates; and a threaded member threadedly engaging the tie bar; wherein the closure system and the first and second plates are relatively arranged and configured such that relative rotation between the tie bar and the threaded member of each tie bar assembly is operative to move the first plate towards and away from the second plate to close and open, respectively, the plate heat exchanger;  d) wherein the plate heat exchanger is arranged and configured such that the heat transfer plates can be removed from the plate heat exchanger without relocating any of the tie bars; and e) wherein each of the threaded members is secured to one of the first and second plates. ",50,10/395491,2003-03-24,2004-0188060,2004-09-30,6899163,2005-05-31,"APV North America, Inc.",US,1,EN049449,APV NORTH AMERICA INC,,,Derek I Finch | Ranjieve Ariarasah,,,,,,,,F28F-009/00,F28F-009/00,165/067,165/067 | 165/076 | 165/078 | 165/166,,,,4.71E+12
US,US,P,A1,Modular welding equipment,"Welding equipment that includes a tooling cart for transferring interchangeable tooling modules to a welding machine. A latch is mounted to the welding machine for latching the tooling cart to the welding machine, and a latch is provided for latching the tooling modules onto the tooling cart. A two-piece tooling cart includes a removable upper section for securing tooling modules thereto and a reusable lower section for use with other tooling modules. A welding method permits operation of a welding machine using a user interface that permits modular programming of at least one operational sequence of welding machine valves and weld operations for a variety of different tooling modules. An operator inputs a new sequence of operations using the user interface rather than having to rewrite ladder logic just to switch over the welding machine to use with a different tooling module. ","1. Welding equipment, comprising:  a welding machine including:  a base operating machine having a tooling module station; and at least one tooling module sized to be received in said tooling module station and connectable to said base operating machine to enable welding operations using said tooling module under control of said base operating machine;  a tooling cart that engages said base operating machine adjacent said tooling module station such that said tooling module can be transferred between said tooling cart and said base operating machine; at least one tooling cart latch that includes a first latch member on said base operating machine and a second latch member on said tooling cart, wherein said tooling cart can be latched to said base operating machine by engagement of said latch members when said tooling cart is brought into engagement with said base operating machine at a location adjacent said tooling module station, whereby said tooling cart latch can be used to inhibit relative movement between said tooling cart and said base operating machine. ",30,10/988880,2004-11-15,2005-0103823,2005-05-19,,,"TEC-OPTION, INC.",US,1,,,,,Bryan Domschot W.,,,,,,,,B23K-001/00,B23K-001/00,228/101,228/101,,,,5.21E+12
US,US,P,A1,System and method for making braces for dies,A system and method for producing braces for a cavity die having a predetermined shape are disclosed. The system includes an input file containing information about the shape of the cavity die and a bracing program running on a computer. The bracing program produces an output file based on the input file and brace parameters. The output file includes information about the design of the braces. The computer instructs a brace-making machine to produce the braces based on the information in the output file. The method includes the steps of: a) providing input information about the shape of the cavity die and the brace parameters to the computer; b) processing the input information by the computer to produce an output file containing information about the design of the braces; and c) producing the braces in accordance with the information from the output file. ,"1. A system for producing a brace for a cavity die having a predetermined shape, the system comprising:  a) an input file containing information about the predetermined shape of the cavity die; b) a data processor configured by a bracing program to produce an output file from the input file and a plurality of brace parameters, wherein the output file comprises information about the design of the brace; and c) a brace-making machine adapted to produce the brace, the brace-making machine adapted for communication with the data processor; wherein the data processor adapted to instruct the brace-making machine to produce the brace based on the information in the output file. ",26,10/959985,2004-10-08,2005-0106526,2005-05-19,,,,,0,,,,,Wesley Scott Elton,2470029,CA,2004-06-04,,,,,A61C-003/00,A61C-003/00 | G06F-007/00,433/024,433/024 | 700/225,,,,5.21E+12
US,US,P,A1,Integrated multi-agent system employing agents of different types,"A heterogeneous agent-based distributed control system for controlling a controlled system having a plurality of components is disclosed. The heterogeneous agent-based distributed control system includes one or more agent of a first type and one or more agents of a second type that communicate with one another by way of one or more networks or other communication links. The agents of the first and second types differ from one another in terms of one or both of their respective architectures and their respective responsibilities. The agents interact with one another in a collaborative manner, and communicate through the use of a special, standardized communications protocol and through the use of certain special functional components. ","1. A heterogeneous agent-based distributed control system for controlling a controlled system having a plurality of components, the control system comprising:  a first agent of a first type; a second agent of a second type; a network linking the first and second agents; wherein the first agent has a first responsibility and the second agent has a second responsibility; and wherein the first and second agents collaborate with one another via communication over the network to control the controlled system. ",60,10/948391,2004-09-23,2005-0108453,2005-05-19,,,,,0,,,,,Francisco Maturana P. | Raymond Staron J. | Frederick Discenzo M. | Kenwood Hall H. | Pavel Tichy | Petr Slechta,,,,,,,,G03G-015/04,G03G-015/04,710/100,710/100,,,,5.21E+12
